date,^GSPC
2000-01-01,1455.219970703125
2000-02-01,1409.280029296875
2000-03-01,1379.18994140625
2000-04-01,1505.969970703125
2000-05-01,1468.25
2000-06-01,1448.81005859375
2000-07-01,1469.5400390625
2000-08-01,1438.0999755859375
2000-09-01,1520.77001953125
2000-10-01,1436.22998046875
2000-11-01,1421.219970703125
2000-12-01,1315.22998046875
2001-01-01,1283.27001953125
2001-02-01,1373.469970703125
2001-03-01,1241.22998046875
2001-04-01,1145.8699951171875
2001-05-01,1266.43994140625
2001-06-01,1260.6700439453125
2001-07-01,1236.719970703125
2001-08-01,1215.9300537109375
2001-09-01,1132.93994140625
2001-10-01,1038.550048828125
2001-11-01,1084.0999755859375
2001-12-01,1129.9000244140625
2002-01-01,1154.6700439453125
2002-02-01,1122.199951171875
2002-03-01,1131.780029296875
2002-04-01,1146.5400390625
2002-05-01,1086.4599609375
2002-06-01,1040.6800537109375
2002-07-01,968.6500244140625
2002-08-01,884.6599731445312
2002-09-01,878.02001953125
2002-10-01,847.9099731445312
2002-11-01,900.9600219726562
2002-12-01,934.530029296875
2003-01-01,909.030029296875
2003-02-01,860.3200073242188
2003-03-01,834.8099975585938
2003-04-01,858.47998046875
2003-05-01,916.2999877929688
2003-06-01,967.0
2003-07-01,982.3200073242188
2003-08-01,980.1500244140625
2003-09-01,1021.989990234375
2003-10-01,1018.219970703125
2003-11-01,1059.02001953125
2003-12-01,1070.1199951171875
2004-01-01,1108.47998046875
2004-02-01,1135.260009765625
2004-03-01,1155.969970703125
2004-04-01,1132.1700439453125
2004-05-01,1117.489990234375
2004-06-01,1121.199951171875
2004-07-01,1128.93994140625
2004-08-01,1106.6199951171875
2004-09-01,1105.9100341796875
2004-10-01,1131.5
2004-11-01,1130.510009765625
2004-12-01,1191.3699951171875
2005-01-01,1202.0799560546875
2005-02-01,1189.4100341796875
2005-03-01,1210.4100341796875
2005-04-01,1172.9200439453125
2005-05-01,1162.1600341796875
2005-06-01,1202.219970703125
2005-07-01,1194.43994140625
2005-08-01,1235.3499755859375
2005-09-01,1221.5899658203125
2005-10-01,1226.699951171875
2005-11-01,1202.760009765625
2005-12-01,1264.6700439453125
2006-01-01,1268.800048828125
2006-02-01,1282.4599609375
2006-03-01,1291.239990234375
2006-04-01,1297.81005859375
2006-05-01,1305.18994140625
2006-06-01,1285.7099609375
2006-07-01,1280.18994140625
2006-08-01,1270.9200439453125
2006-09-01,1311.010009765625
2006-10-01,1331.3199462890625
2006-11-01,1367.81005859375
2006-12-01,1396.7099609375
2007-01-01,1416.5999755859375
2007-02-01,1445.93994140625
2007-03-01,1403.1700439453125
2007-04-01,1424.550048828125
2007-05-01,1486.300048828125
2007-06-01,1536.3399658203125
2007-07-01,1519.4300537109375
2007-08-01,1465.81005859375
2007-09-01,1489.4200439453125
2007-10-01,1547.0400390625
2007-11-01,1508.43994140625
2007-12-01,1472.4200439453125
2008-01-01,1447.1600341796875
2008-02-01,1395.4200439453125
2008-03-01,1331.3399658203125
2008-04-01,1370.1800537109375
2008-05-01,1409.3399658203125
2008-06-01,1385.6700439453125
2008-07-01,1284.9100341796875
2008-08-01,1260.31005859375
2008-09-01,1277.5799560546875
2008-10-01,1161.06005859375
2008-11-01,966.2999877929688
2008-12-01,816.2100219726562
2009-01-01,931.7999877929688
2009-02-01,825.4400024414062
2009-03-01,700.8200073242188
2009-04-01,811.0800170898438
2009-05-01,877.52001953125
2009-06-01,942.8699951171875
2009-07-01,923.3300170898438
2009-08-01,1002.6300048828125
2009-09-01,998.0399780273438
2009-10-01,1029.8499755859375
2009-11-01,1042.8800048828125
2009-12-01,1108.8599853515625
2010-01-01,1132.989990234375
2010-02-01,1089.18994140625
2010-03-01,1115.7099609375
2010-04-01,1178.0999755859375
2010-05-01,1202.260009765625
2010-06-01,1070.7099609375
2010-07-01,1027.3699951171875
2010-08-01,1125.8599853515625
2010-09-01,1080.2900390625
2010-10-01,1146.239990234375
2010-11-01,1184.3800048828125
2010-12-01,1206.0699462890625
2011-01-01,1271.8699951171875
2011-02-01,1307.5899658203125
2011-03-01,1306.3299560546875
2011-04-01,1332.4100341796875
2011-05-01,1361.219970703125
2011-06-01,1314.550048828125
2011-07-01,1339.6700439453125
2011-08-01,1286.93994140625
2011-09-01,1204.4200439453125
2011-10-01,1099.22998046875
2011-11-01,1218.280029296875
2011-12-01,1244.5799560546875
2012-01-01,1277.06005859375
2012-02-01,1324.0899658203125
2012-03-01,1374.0899658203125
2012-04-01,1419.0400390625
2012-05-01,1405.8199462890625
2012-06-01,1278.0400390625
2012-07-01,1365.510009765625
2012-08-01,1375.3199462890625
2012-09-01,1404.93994140625
2012-10-01,1444.489990234375
2012-11-01,1427.5899658203125
2012-12-01,1409.4599609375
2013-01-01,1462.4200439453125
2013-02-01,1513.1700439453125
2013-03-01,1518.199951171875
2013-04-01,1562.1700439453125
2013-05-01,1582.699951171875
2013-06-01,1640.4200439453125
2013-07-01,1614.9599609375
2013-08-01,1706.8699951171875
2013-09-01,1639.77001953125
2013-10-01,1695.0
2013-11-01,1761.6400146484375
2013-12-01,1800.9000244140625
2014-01-01,1831.97998046875
2014-02-01,1741.8900146484375
2014-03-01,1845.72998046875
2014-04-01,1885.52001953125
2014-05-01,1883.6800537109375
2014-06-01,1924.969970703125
2014-07-01,1973.3199462890625
2014-08-01,1925.1500244140625
2014-09-01,2002.280029296875
2014-10-01,1946.1600341796875
2014-11-01,2017.81005859375
2014-12-01,2053.43994140625
2015-01-01,2058.199951171875
2015-02-01,2020.8499755859375
2015-03-01,2117.389892578125
2015-04-01,2059.68994140625
2015-05-01,2108.2900390625
2015-06-01,2111.72998046875
2015-07-01,2077.419921875
2015-08-01,2098.0400390625
2015-09-01,1913.8499755859375
2015-10-01,1923.8199462890625
2015-11-01,2104.050048828125
2015-12-01,2102.6298828125
2016-01-01,2012.6600341796875
2016-02-01,1939.3800048828125
2016-03-01,1978.3499755859375
2016-04-01,2072.780029296875
2016-05-01,2081.429931640625
2016-06-01,2099.330078125
2016-07-01,2102.949951171875
2016-08-01,2170.840087890625
2016-09-01,2170.860107421875
2016-10-01,2161.199951171875
2016-11-01,2111.719970703125
2016-12-01,2191.080078125
2017-01-01,2257.830078125
2017-02-01,2279.550048828125
2017-03-01,2395.9599609375
2017-04-01,2358.840087890625
2017-05-01,2388.330078125
2017-06-01,2430.06005859375
2017-07-01,2429.010009765625
2017-08-01,2476.35009765625
2017-09-01,2476.550048828125
2017-10-01,2529.1201171875
2017-11-01,2579.360107421875
2017-12-01,2642.219970703125
2018-01-01,2695.81005859375
2018-02-01,2821.97998046875
2018-03-01,2677.669921875
2018-04-01,2581.8798828125
2018-05-01,2654.800048828125
2018-06-01,2734.6201171875
2018-07-01,2726.7099609375
2018-08-01,2813.360107421875
2018-09-01,2896.719970703125
2018-10-01,2924.590087890625
2018-11-01,2740.3701171875
2018-12-01,2790.3701171875
2019-01-01,2510.030029296875
2019-02-01,2706.530029296875
2019-03-01,2803.68994140625
2019-04-01,2867.18994140625
2019-05-01,2923.72998046875
2019-06-01,2744.449951171875
2019-07-01,2964.330078125
2019-08-01,2953.56005859375
2019-09-01,2906.27001953125
2019-10-01,2940.25
2019-11-01,3066.909912109375
2019-12-01,3113.8701171875
2020-01-01,3257.85009765625
2020-02-01,3248.919921875
2020-03-01,3090.22998046875
2020-04-01,2470.5
2020-05-01,2830.7099609375
2020-06-01,3055.72998046875
2020-07-01,3115.860107421875
2020-08-01,3294.610107421875
2020-09-01,3526.64990234375
2020-10-01,3380.800048828125
2020-11-01,3310.239990234375
2020-12-01,3662.449951171875
2021-01-01,3700.64990234375
2021-02-01,3773.860107421875
2021-03-01,3901.820068359375
2021-04-01,4019.8701171875
2021-05-01,4192.66015625
2021-06-01,4202.0400390625
2021-07-01,4319.93994140625
2021-08-01,4387.16015625
2021-09-01,4524.08984375
2021-10-01,4357.0400390625
2021-11-01,4613.669921875
2021-12-01,4513.0400390625
2022-01-01,4796.56005859375
2022-02-01,4546.5400390625
2022-03-01,4306.259765625
2022-04-01,4545.85986328125
2022-05-01,4155.3798828125
2022-06-01,4101.22998046875
2022-07-01,3825.330078125
2022-08-01,4118.6298828125
2022-09-01,3966.85009765625
2022-10-01,3678.429931640625
2022-11-01,3856.10009765625
2022-12-01,4076.570068359375
2023-01-01,3824.139892578125
2023-02-01,4119.2099609375
2023-03-01,3951.389892578125
2023-04-01,4124.509765625
2023-05-01,4167.8701171875
2023-06-01,4221.02001953125
2023-07-01,4455.58984375
2023-08-01,4576.72998046875
2023-09-01,4515.77001953125
2023-10-01,4288.39013671875
2023-11-01,4237.85986328125
2023-12-01,4594.6298828125
2024-01-01,4742.830078125
2024-02-01,4906.18994140625
2024-03-01,5137.080078125
2024-04-01,5243.77001953125
2024-05-01,5018.39013671875
2024-06-01,5283.39990234375
2024-07-01,5475.08984375
2024-08-01,5446.68017578125
2024-09-01,5528.93017578125
2024-10-01,5708.75
2024-11-01,5728.7998046875
2024-12-01,6047.14990234375
2025-01-01,5868.5498046875
2025-02-01,5994.56982421875
2025-03-01,5849.72021484375
